"filename", "language", "C", "Makefile", "Python", "Markdown", "Shell Script", "YAML", "comment", "blank", "total"
"c:\Users\cripe\Desktop\CRBout\src\fuck-that-io.c", "C", 0, 0, 0, 0, 0, 0, 60, 0, 60
"c:\Users\cripe\Desktop\CRBout\src\heap.c", "C", 67, 0, 0, 0, 0, 0, 1, 12, 80
"c:\Users\cripe\Desktop\CRBout\src\heap.h", "C", 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\cripe\Desktop\CRBout\src\main.c", "C", 186, 0, 0, 0, 0, 0, 11, 30, 227
"c:\Users\cripe\Desktop\CRBout\src\parser.c", "C", 77, 0, 0, 0, 0, 0, 0, 12, 89
"c:\Users\cripe\Desktop\CRBout\src\parser.h", "C", 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\cripe\Desktop\CRBout\src\playground.c", "C", 138, 0, 0, 0, 0, 0, 22, 29, 189
"c:\Users\cripe\Desktop\CRBout\src\playground.h", "C", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\cripe\Desktop\CRBout\src\pputil.h", "C", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\cripe\Desktop\CRBout\src\rbio.c", "C", 98, 0, 0, 0, 0, 0, 0, 19, 117
"c:\Users\cripe\Desktop\CRBout\src\rbio.h", "C", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\cripe\Desktop\CRBout\src\rbstate.c", "C", 826, 0, 0, 0, 0, 0, 9, 112, 947
"c:\Users\cripe\Desktop\CRBout\src\rbstate.h", "C", 64, 0, 0, 0, 0, 0, 12, 12, 88
"c:\Users\cripe\Desktop\CRBout\src\stack.c", "C", 65, 0, 0, 0, 0, 0, 2, 15, 82
"c:\Users\cripe\Desktop\CRBout\src\stack.h", "C", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\cripe\Desktop\CRBout\src\tesc.c", "C", 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\cripe\Desktop\CRBout\src\tesc.h", "C", 41, 0, 0, 0, 0, 0, 14, 17, 72
"c:\Users\cripe\Desktop\CRBout\src\utils.c", "C", 43, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\cripe\Desktop\CRBout\src\utils.h", "C", 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\cripe\Desktop\CRBout\src\valuetypes.h", "C", 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\cripe\Desktop\CRBout\test\test.c", "C", 3, 0, 0, 0, 0, 0, 0, 4, 7
"Total", "-", 3696, 9, 6, 173, 2, 19, 512, 827, 5244
